ticker,year,month,window_size,mu,sigma,beta_sentiment,MAE,RMSE
KO,2025,10,252,-0.061487963555115085,0.16737848092367583,-0.03152781188589751,1.7684739428258947,2.3350655331949555
KO,2025,11,252,-0.0017959724826853516,0.17397530462275768,-0.06493013753629902,3.223478051818747,3.6429614537747588
KO,2025,12,252,0.1182833076407934,0.17454890876649753,-0.0714138373146491,0.6440531867062163,0.9108287515295422
JNJ,2022,1,252,0.11974411743401153,0.14540180927419902,-0.20192733558944792,3.076009407017752,3.8603187248146056
JNJ,2022,2,252,0.04978738998429112,0.14638971301260723,-0.06876703778726602,3.9397205162408064,5.335405977396604
JNJ,2022,3,252,0.030585719668110578,0.1490243158353354,-0.05218499626895204,7.007116049107494,7.646329579722179
JNJ,2022,4,252,0.1315429819066776,0.14934750173263028,-0.21529408170405412,2.0509598395097814,2.5655114153588015
JNJ,2022,5,252,0.10464677307394105,0.1550562195199919,-0.24144823439632246,2.1365026109112715,2.7337613953890996
JNJ,2022,6,252,0.0663440145252045,0.15666655213186093,-0.22936595531484757,4.471374942614638,5.634735064272838
JNJ,2022,7,252,0.11687367058857609,0.16134455381590285,-0.16210343714387293,3.423262599944001,4.293877023660249
JNJ,2022,8,252,0.08651452360845882,0.1607380319313047,-0.19672195486709182,7.394467548748994,8.301523124330354
JNJ,2022,9,252,-0.01835213395855307,0.16391739336736905,-0.15569910531098796,1.678218533494876,2.091369629436334
JNJ,2022,10,252,-0.0016652075028199438,0.1706733323233841,-0.15000497628497153,3.2561580027664174,4.197739689091125
JNJ,2022,11,252,0.13181201289932268,0.17400570135447924,-0.12656531620754202,1.6211286272807541,1.9603024016160628
JNJ,2022,12,252,0.183996828740286,0.17279327007722556,-0.06450312135236551,1.932587307405683,2.288963772122574
JNJ,2023,1,252,0.16848345721805796,0.17308970604428156,-0.08021609600061046,7.701134747058961,9.22055799927112
JNJ,2023,2,252,0.10745330508947147,0.17371887404383796,-0.10402947331635609,5.201970635620798,6.327485708462573
JNJ,2023,3,252,0.02841249880761888,0.17298374871417302,-0.08088920619604445,0.8995223911417938,1.1327174970020764
JNJ,2023,4,252,0.028606795306472303,0.1707912284150674,-0.14054152449897017,3.8054021422541413,4.363096868662071
